Location_ID,Name,Class,Type,CD,Region,Slug,Latitude,Longitude,CoordSrc,Population_2021,PopSrc,SEO_Score,Defer_Reason
"MB-4615071","Rolling River 67",CSD,"Community",15,Westman,rolling-river-67,50.45556,-99.98611,CGN,379,"StatCan 98-10-0002",49,"score < 50"
"MB-UNP-austin","Austin",COMMUNITY,"Local Urban District",08,Central Plains,austin,49.95028,-98.93611,CGN,422,"Wikidata P1082 (census-sourced)",49,"score < 50"
"MB-4618067","Fairford 50",CSD,"Community",18,Interlake,fairford-50,51.58556,-98.71028,CGN,1144,"StatCan 98-10-0002",48.9,"score < 50"
"MB-4617064","Ethelbert",CSD,"Rural Municipality",17,Parkland,ethelbert,51.52917,-100.49306,CGN,648,"StatCan 98-10-0002",48.4,"score < 50"
"MB-UNP-miami","Miami",COMMUNITY,"Local Urban District",03,Pembina Valley,miami,49.37111,-98.24389,CGN,464,"GeoNames (census-derived)",48.4,"score < 50"
"MB-4618055","Dog Creek 46",CSD,"Community",18,Interlake,dog-creek-46,50.90833,-98.59722,CGN,899,"StatCan 98-10-0002",48.2,"score < 50"
"MB-4622058","Norway House 17",CSD,"Northern Community",22,Northern Manitoba,norway-house-17,53.99028,-97.81556,CGN,5390,"StatCan 98-10-0002",47.6,"consolidated into the Norway House community page (same settlement)"
"MB-4613062","Brokenhead 4",CSD,"Indian Reserve",13,Interlake,brokenhead-4,50.23940,-96.48809,GeoNames,434,"StatCan 98-10-0002",47.5,"score < 50"
"MB-4609027","Dakota Tipi 1",CSD,"Community",09,Central Plains,dakota-tipi-1,49.94722,-98.35000,CGN,226,"StatCan 98-10-0002",47.3,"score < 50"
"MB-4619077","Berens River 13",CSD,"Northern Community",19,Northern Manitoba,berens-river-13,52.36528,-97.02917,CGN,1161,"StatCan 98-10-0002",47,"score < 50"
"MB-UNP-ashern","Ashern",COMMUNITY,"Local Urban District",15,Westman,ashern,51.18222,-98.34556,CGN,609,"Wikidata P1082 (census-sourced)",47,"score < 50"
"MB-4616046","Valley River 63A",CSD,"Community",16,Parkland,valley-river-63a,51.24806,-100.14306,CGN,360,"StatCan 98-10-0002",46.2,"score < 50"
"MB-4619052","Bloodvein 12",CSD,"Community",19,Northern Manitoba,bloodvein-12,51.79083,-96.70528,CGN,640,"StatCan 98-10-0002",45.7,"score < 50"
"MB-UNP-camperville","Camperville",COMMUNITY,"Northern Community",17,Parkland,camperville,51.98833,-100.14278,CGN,820,"GeoNames (census-derived)",45.4,"score < 50"
"MB-4618063","Little Saskatchewan 48",CSD,"Community",18,Interlake,little-saskatchewan-48,51.68194,-98.56111,CGN,627,"StatCan 98-10-0002",45.3,"score < 50"
"MB-UNP-la-riviere","La Rivière",COMMUNITY,"Local Urban District",04,Pembina Valley,la-riviere,49.23833,-98.67889,CGN,174,"Wikidata P1082 (census-sourced)",44,"score < 50"
"MB-4621052","Kelsey",CSD,"Rural Municipality",21,Northern Manitoba,kelsey,54.15833,-101.37500,CGN,2181,"StatCan 98-10-0002",43.9,"score < 50"
"MB-4609026","Dakota Plains 6A",CSD,"Community",09,Central Plains,dakota-plains-6a,49.81667,-98.52639,CGN,98,"StatCan 98-10-0002",43.3,"score < 50"
"MB-4615072","Rolling River 67B",CSD,"Community",15,Westman,rolling-river-67b,50.45556,-99.98611,CGN,56,"StatCan 98-10-0002",43.1,"score < 50"
"MB-4601070","Buffalo Point 36",CSD,"Indian Reserve",01,Eastman,buffalo-point-36,49.01108,-95.23937,GeoNames,219,"StatCan 98-10-0002",42.8,"score < 50"
"MB-4619062","Dauphin River 48A",CSD,"Northern Community",19,Northern Manitoba,dauphin-river-48a,51.95972,-98.06528,CGN,213,"StatCan 98-10-0002",42.7,"score < 50"
"MB-4608060","WestLake-Gladstone",CSD,"Community",08,Central Plains,westlake-gladstone,,,,3273,"StatCan 98-10-0002",42.4,"no verified coordinates"
"MB-4618076","Bifrost-Riverton",CSD,"Community",18,Interlake,bifrost-riverton,,,,3320,"StatCan 98-10-0002",42.4,"no verified coordinates"
"MB-4622800","Wasagamack",CSD,"Community",22,Northern Manitoba,wasagamack,53.90833,-94.94583,CGN,2088,"StatCan 98-10-0002",42.3,"score < 50"
"MB-4607066","North Cypress-Langford",CSD,"Community",07,Westman,north-cypress-langford,,,,3011,"StatCan 98-10-0002",42.2,"no verified coordinates"
"MB-4616048","Hillsburg-Roblin-Shell River",CSD,"Community",16,Parkland,hillsburg-roblin-shell-river,,,,3089,"StatCan 98-10-0002",42.2,"no verified coordinates"
"MB-4621071","Snow Lake",CSD,"Town",21,Northern Manitoba,snow-lake,54.87889,-100.03667,CGN,1088,"StatCan 98-10-0002",42.1,"score < 50"
"MB-4606031","Wallace-Woodworth",CSD,"Community",06,Westman,wallace-woodworth,,,,2748,"StatCan 98-10-0002",42,"no verified coordinates"
"MB-4620042","Swan Valley West",CSD,"Community",20,Parkland,swan-valley-west,,,,2759,"StatCan 98-10-0002",42,"no verified coordinates"
"MB-4623022","Gillam",CSD,"Local Government District",23,Northern Manitoba,gillam,56.45833,-94.20833,CGN,1007,"StatCan 98-10-0002",42,"score < 50"
"MB-4607052","Souris-Glenwood",CSD,"Community",07,Westman,souris-glenwood,,,,2547,"StatCan 98-10-0002",41.9,"no verified coordinates"
"MB-4616030","Russell-Binscarth",CSD,"Community",16,Parkland,russell-binscarth,,,,2596,"StatCan 98-10-0002",41.9,"no verified coordinates"
"MB-4602024","Emerson-Franklin",CSD,"Community",02,Eastman,emerson-franklin,,,,2437,"StatCan 98-10-0002",41.8,"no verified coordinates"
"MB-4605032","Boissevain-Morton",CSD,"Community",05,Westman,boissevain-morton,,,,2309,"StatCan 98-10-0002",41.7,"no verified coordinates"
"MB-4622059","Nelson House 170",CSD,"Northern Community",22,Northern Manitoba,nelson-house-170,55.78333,-98.88833,CGN,2397,"StatCan 98-10-0002",41.7,"score < 50"
"MB-4618056","West Interlake",CSD,"Community",18,Interlake,west-interlake,,,,2228,"StatCan 98-10-0002",41.6,"no verified coordinates"
"MB-4615056","Prairie View",CSD,"Community",15,Westman,prairie-view,,,,2161,"StatCan 98-10-0002",41.5,"no verified coordinates"
"MB-4619061","Jackhead 43",CSD,"Indian Reserve",19,Northern Manitoba,jackhead-43,51.92627,-97.31140,GeoNames,267,"StatCan 98-10-0002",41.5,"score < 50"
"MB-4622801","St. Theresa Point",CSD,"First Nation Administrative Location",22,Northern Manitoba,st-theresa-point,53.81729,-94.85124,CGN,3417,"StatCan 98-10-0002",41.5,"score < 50"
"MB-UNP-wasagaming","Wasagaming",COMMUNITY,"Community",15,Westman,wasagaming,50.65833,-99.96861,CGN,33,"GeoNames (census-derived)",41.4,"score < 50"
"MB-UNP-oxford-house","Oxford House",COMMUNITY,"Northern Community",22,Northern Manitoba,oxford-house,54.94833,-95.26556,CGN,1950,"GeoNames (census-derived)",41.3,"score < 50"
"MB-4615070","Harrison Park",CSD,"Community",15,Westman,harrison-park,,,,1852,"StatCan 98-10-0002",41.2,"no verified coordinates"
"MB-4615063","Yellowhead",CSD,"Community",15,Westman,yellowhead,,,,1841,"StatCan 98-10-0002",41.2,"no verified coordinates"
"MB-4622051","Cross Lake 19",CSD,"Northern Community",22,Northern Manitoba,cross-lake-19,54.62583,-97.77889,CGN,1865,"StatCan 98-10-0002",41.2,"score < 50"
"MB-4607046","Oakland-Wawanesa",CSD,"Community",07,Westman,oakland-wawanesa,,,,1758,"StatCan 98-10-0002",41.1,"no verified coordinates"
"MB-4608032","Norfolk-Treherne",CSD,"Community",08,Central Plains,norfolk-treherne,,,,1770,"StatCan 98-10-0002",41.1,"no verified coordinates"
"MB-4605062","Grassland",CSD,"Community",05,Westman,grassland,,,,1583,"StatCan 98-10-0002",40.9,"no verified coordinates"
"MB-4605071","Prairie Lakes",CSD,"Community",05,Westman,prairie-lakes,,,,1625,"StatCan 98-10-0002",40.9,"no verified coordinates"
"MB-4620051","Minitonas-Bowsman",CSD,"Community",20,Parkland,minitonas-bowsman,,,,1587,"StatCan 98-10-0002",40.9,"no verified coordinates"
"MB-4605038","Deloraine-Winchester",CSD,"Community",05,Westman,deloraine-winchester,,,,1478,"StatCan 98-10-0002",40.8,"no verified coordinates"
"MB-4616020","Riding Mountain West",CSD,"Community",16,Parkland,riding-mountain-west,,,,1442,"StatCan 98-10-0002",40.7,"no verified coordinates"
"MB-4621025","Grand Rapids",CSD,"Town",21,Northern Manitoba,grand-rapids,53.17833,-99.26472,CGN,213,"StatCan 98-10-0002",40.6,"score < 50"
"MB-4604052","Cartwright-Roblin",CSD,"Community",04,Pembina Valley,cartwright-roblin,,,,1336,"StatCan 98-10-0002",40.5,"no verified coordinates"
"MB-4617075","Lakeshore",CSD,"Community",17,Parkland,lakeshore,,,,1186,"StatCan 98-10-0002",40.3,"no verified coordinates"
"MB-4605056","Two Borders",CSD,"Community",05,Westman,two-borders,,,,1120,"StatCan 98-10-0002",40.2,"no verified coordinates"
"MB-4607039","Glenboro-South Cypress",CSD,"Community",07,Westman,glenboro-south-cypress,,,,1123,"StatCan 98-10-0002",40.2,"no verified coordinates"
"MB-4608055","Glenella-Lansdowne",CSD,"Community",08,Central Plains,glenella-lansdowne,,,,1133,"StatCan 98-10-0002",40.2,"no verified coordinates"
"MB-4615074","Minto-Odanah",CSD,"Community",15,Westman,minto-odanah,,,,1121,"StatCan 98-10-0002",40.2,"no verified coordinates"
"MB-4622048","Garden Hill First Nation",CSD,"Indian Reserve",22,Northern Manitoba,garden-hill-first-nation,,,,3054,"StatCan 98-10-0002",40.2,"no verified coordinates"
"MB-4619045","Division No. 19, Unorganized",CSD,"Unorganized",19,Northern Manitoba,division-no-19-unorganized,,,,2839,"StatCan 98-10-0002",40.1,"no verified coordinates"
"MB-4615092","Clanwilliam-Erickson",CSD,"Community",15,Westman,clanwilliam-erickson,,,,1012,"StatCan 98-10-0002",40,"no verified coordinates"
"MB-4623056","Churchill",CSD,"Town",23,Northern Manitoba,churchill,58.78083,-94.18694,CGN,870,"StatCan 98-10-0002",39.7,"score < 50"
"MB-4621027","Grand Rapids 33",CSD,"Indian Reserve",21,Northern Manitoba,grand-rapids-33,53.20832,-99.30075,GeoNames,947,"StatCan 98-10-0002",39.6,"score < 50"
"MB-4621043","Opaskwayak Cree Nation 21E",CSD,"Indian Reserve",21,Northern Manitoba,opaskwayak-cree-nation-21e,,,,2210,"StatCan 98-10-0002",39.6,"no verified coordinates"
"MB-4622063","Split Lake 171",CSD,"Locality",22,Northern Manitoba,split-lake-171,56.01667,-95.82667,CGN,2232,"StatCan 98-10-0002",39.6,"score < 50"
"MB-4622046","Division No. 22, Unorganized",CSD,"Unorganized",22,Northern Manitoba,division-no-22-unorganized,,,,2162,"StatCan 98-10-0002",39.5,"no verified coordinates"
"MB-4622052","Cross Lake 19A",CSD,"Indian Reserve",22,Northern Manitoba,cross-lake-19a,54.65135,-97.76848,GeoNames,2045,"StatCan 98-10-0002",39.4,"score < 50"
"MB-4621078","Division No. 21, Unorganized",CSD,"Unorganized",21,Northern Manitoba,division-no-21-unorganized,,,,1712,"StatCan 98-10-0002",39,"no verified coordinates"
"MB-4623047","Lynn Lake",CSD,"Local Government District",23,Northern Manitoba,lynn-lake,56.85167,-101.04667,CGN,579,"StatCan 98-10-0002",38.9,"score < 50"
"MB-4622049","God's Lake 23",CSD,"Indian Reserve",22,Northern Manitoba,god-s-lake-23,,,,1520,"StatCan 98-10-0002",38.8,"no verified coordinates"
"MB-4616017","Waywayseecappo First Nation",CSD,"Indian Reserve",16,Parkland,waywayseecappo-first-nation,,,,1409,"StatCan 98-10-0002",38.7,"no verified coordinates"
"MB-4619056","Fisher River 44",CSD,"Indian Reserve",19,Northern Manitoba,fisher-river-44,,,,1449,"StatCan 98-10-0002",38.7,"no verified coordinates"
"MB-4601094","Division No.  1, Unorganized",CSD,"Unorganized",01,Eastman,division-no-1-unorganized,,,,1380,"StatCan 98-10-0002",38.6,"no verified coordinates"
"MB-4621029","Chemawawin 2",CSD,"Indian Reserve",21,Northern Manitoba,chemawawin-2,,,,1264,"StatCan 98-10-0002",38.4,"no verified coordinates"
"MB-UNP-birch-river","Birch River",COMMUNITY,"Local Urban District",20,Parkland,birch-river,52.39611,-101.10389,CGN,144,"GeoNames (census-derived)",38.2,"score < 50"
"MB-4618061","Obushkudayang",CSD,"Community",18,Interlake,obushkudayang,,,,957,"StatCan 98-10-0002",37.9,"no verified coordinates"
"MB-4623034","Leaf Rapids",CSD,"Town",23,Northern Manitoba,leaf-rapids,56.46194,-100.01056,CGN,351,"StatCan 98-10-0002",37.8,"score < 50"
"MB-4621058","Moose Lake 31A",CSD,"Indian Reserve",21,Northern Manitoba,moose-lake-31a,53.70273,-100.32746,GeoNames,837,"StatCan 98-10-0002",37.7,"score < 50"
"MB-4615047","Ellice-Archie",CSD,"Community",15,Westman,ellice-archie,,,,831,"StatCan 98-10-0002",37.6,"no verified coordinates"
"MB-4622067","Cross Lake 19E",CSD,"Northern Community",22,Northern Manitoba,cross-lake-19e,54.62583,-97.77889,CGN,763,"StatCan 98-10-0002",37.4,"score < 50"
"MB-UNP-cranberry-portage","Cranberry Portage",COMMUNITY,"Local Urban District",21,Northern Manitoba,cranberry-portage,54.58611,-101.37722,CGN,771,"GeoNames (census-derived)",37.4,"score < 50"
"MB-4622056","Red Sucker Lake 1976",CSD,"Northern Community",22,Northern Manitoba,red-sucker-lake-1976,54.16000,-93.56722,CGN,725,"StatCan 98-10-0002",37.3,"score < 50"
"MB-4605044","Brenda-Waskada",CSD,"Community",05,Westman,brenda-waskada,,,,650,"StatCan 98-10-0002",37.1,"no verified coordinates"
"MB-UNP-gods-river","Gods River",COMMUNITY,"Community",22,Northern Manitoba,gods-river,54.84167,-94.09000,CGN,643,"GeoNames (census-derived)",37.1,"score < 50"
"MB-4623037","South Indian Lake",CSD,"Northern Community",23,Northern Manitoba,south-indian-lake,56.78028,-98.93028,CGN,578,"StatCan 98-10-0002",36.9,"score < 50"
"MB-4620055","Mountain (North)",CSD,"Community",20,Parkland,mountain-north,,,,537,"StatCan 98-10-0002",36.7,"no verified coordinates"
"MB-UNP-chater","Chater",COMMUNITY,"Community",07,Westman,chater,49.86722,-99.83139,CGN,,"",36.7,"no grounded population"
"MB-UNP-roseland","Roseland",COMMUNITY,"Community",07,Westman,roseland,49.79806,-100.07556,CGN,,"",36.7,"no grounded population"
"MB-UNP-villette","Villette",COMMUNITY,"Unincorporated Community",07,Westman,villette,49.81694,-100.09778,CGN,,"",36.7,"no grounded population"
"MB-UNP-brandon-hills","Brandon Hills",COMMUNITY,"Unincorporated Community",07,Westman,brandon-hills,49.75472,-99.87083,CGN,,"",36.6,"no grounded population"
"MB-UNP-forrest","Forrest",COMMUNITY,"Community",07,Westman,forrest,49.96639,-99.93667,CGN,,"",36.6,"no grounded population"
"MB-UNP-kemnay","Kemnay",COMMUNITY,"Community",07,Westman,kemnay,49.84167,-100.13417,CGN,,"",36.6,"no grounded population"
"MB-UNP-brandon-north","Brandon North",COMMUNITY,"Unincorporated Community",07,Westman,brandon-north,49.99778,-99.93167,CGN,,"",36.5,"no grounded population"
"MB-UNP-carnegie","Carnegie",COMMUNITY,"Unincorporated Community",07,Westman,carnegie,49.97472,-100.09000,CGN,,"",36.5,"no grounded population"
"MB-UNP-cottonwoods","Cottonwoods",COMMUNITY,"Community",07,Westman,cottonwoods,49.84972,-99.70000,CGN,,"",36.5,"no grounded population"
"MB-UNP-deacon","Deacon",COMMUNITY,"Unincorporated Community",13,Interlake,deacon,49.84944,-96.93500,CGN,,"",36.5,"no grounded population"
"MB-UNP-deacons-corner","Deacons Corner",COMMUNITY,"Community",11,Winnipeg Metro,deacons-corner,49.82028,-96.93417,CGN,,"",36.5,"no grounded population"
"MB-UNP-douglas","Douglas",COMMUNITY,"Community",07,Westman,douglas,49.89333,-99.71056,CGN,,"",36.5,"no grounded population"
"MB-UNP-douglas-station","Douglas Station",COMMUNITY,"Unincorporated Community",07,Westman,douglas-station,49.89222,-99.71000,CGN,,"",36.5,"no grounded population"
"MB-UNP-emesville","Emesville",COMMUNITY,"Unincorporated Community",13,Interlake,emesville,50.03861,-97.13722,CGN,,"",36.5,"no grounded population"
"MB-UNP-hacienda","Hacienda",COMMUNITY,"Unincorporated Community",11,Winnipeg Metro,hacienda,49.86056,-97.36361,CGN,,"",36.5,"no grounded population"
"MB-UNP-knox","Knox",COMMUNITY,"Unincorporated Community",07,Westman,knox,49.99889,-99.97194,CGN,,"",36.5,"no grounded population"
"MB-UNP-lilyfield","Lilyfield",COMMUNITY,"Unincorporated Community",13,Interlake,lilyfield,50.00472,-97.27583,CGN,,"",36.5,"no grounded population"
"MB-UNP-parkdale","Parkdale",COMMUNITY,"Unincorporated Community",13,Interlake,parkdale,50.04194,-97.03583,CGN,,"",36.5,"no grounded population"
"MB-UNP-prairie-grove","Prairie Grove",COMMUNITY,"Community",02,Eastman,prairie-grove,49.79694,-96.95972,CGN,,"",36.5,"no grounded population"
"MB-4622065","York Landing",CSD,"Community",22,Northern Manitoba,york-landing,56.08889,-96.10167,CGN,455,"StatCan 98-10-0002",36.4,"score < 50"
"MB-UNP-blackdale","Blackdale",COMMUNITY,"Unincorporated Community",13,Interlake,blackdale,50.06417,-97.13444,CGN,,"",36.4,"no grounded population"
"MB-UNP-diamond","Diamond",COMMUNITY,"Unincorporated Community",11,Winnipeg Metro,diamond,49.83667,-97.41056,CGN,,"",36.4,"no grounded population"
"MB-UNP-dugald","Dugald",COMMUNITY,"Community",12,Eastman,dugald,49.88611,-96.83806,CGN,,"",36.4,"no grounded population"
"MB-UNP-gordon","Gordon",COMMUNITY,"Unincorporated Community",14,Interlake,gordon,49.99917,-97.34333,CGN,,"",36.4,"no grounded population"
"MB-UNP-hayfield","Hayfield",COMMUNITY,"Community",07,Westman,hayfield,49.67833,-100.05917,CGN,,"",36.4,"no grounded population"
"MB-UNP-howden","Howden",COMMUNITY,"Community",02,Eastman,howden,49.71139,-97.13194,CGN,,"",36.4,"no grounded population"
"MB-UNP-justice","Justice",COMMUNITY,"Community",07,Westman,justice,49.99611,-99.79917,CGN,,"",36.4,"no grounded population"
"MB-UNP-la-barriere","La Barrière",COMMUNITY,"Community",02,Eastman,la-barriere,49.71306,-97.18944,CGN,,"",36.4,"no grounded population"
"MB-UNP-less-crossing","Less Crossing",COMMUNITY,"Unincorporated Community",13,Interlake,less-crossing,50.06139,-96.99528,CGN,,"",36.4,"no grounded population"
"MB-UNP-levine","Levine",COMMUNITY,"Unincorporated Community",07,Westman,levine,50.00278,-100.13194,CGN,,"",36.4,"no grounded population"
"MB-UNP-narol","Narol",COMMUNITY,"Community",13,Interlake,narol,50.05500,-96.97750,CGN,,"",36.4,"no grounded population"
"MB-UNP-smart","Smart",COMMUNITY,"Unincorporated Community",07,Westman,smart,50.00194,-100.05056,CGN,,"",36.4,"no grounded population"
"MB-UNP-south-headingley","South Headingley",COMMUNITY,"Unincorporated Community",11,Winnipeg Metro,south-headingley,49.86333,-97.42194,CGN,,"",36.4,"no grounded population"
"MB-UNP-sprucewoods","Sprucewoods",COMMUNITY,"Community",07,Westman,sprucewoods,49.82056,-99.65167,CGN,,"",36.4,"no grounded population"
"MB-UNP-st-germain-south","St. Germain South",COMMUNITY,"Community",02,Eastman,st-germain-south,49.72222,-97.08833,CGN,,"",36.4,"no grounded population"
"MB-UNP-west-pine-ridge","West Pine Ridge",COMMUNITY,"Community",13,Interlake,west-pine-ridge,49.99583,-96.91083,CGN,,"",36.4,"no grounded population"
"MB-4620032","Mountain (South)",CSD,"Community",20,Parkland,mountain-south,,,,443,"StatCan 98-10-0002",36.3,"no verified coordinates"
"MB-UNP-beresford","Beresford",COMMUNITY,"Community",07,Westman,beresford,49.73028,-100.19694,CGN,,"",36.3,"no grounded population"
"MB-UNP-calrin","Calrin",COMMUNITY,"Unincorporated Community",11,Winnipeg Metro,calrin,49.83944,-97.47389,CGN,,"",36.3,"no grounded population"
"MB-UNP-gonor","Gonor",COMMUNITY,"Community",13,Interlake,gonor,50.06972,-96.94583,CGN,,"",36.3,"no grounded population"
"MB-UNP-gonor-station","Gonor Station",COMMUNITY,"Unincorporated Community",13,Interlake,gonor-station,50.05417,-96.91139,CGN,,"",36.3,"no grounded population"
"MB-UNP-mcdonald","McDonald",COMMUNITY,"Unincorporated Community",13,Interlake,mcdonald,50.08083,-96.96944,CGN,,"",36.3,"no grounded population"
"MB-UNP-pendennis","Pendennis",COMMUNITY,"Unincorporated Community",07,Westman,pendennis,49.97528,-100.18278,CGN,,"",36.3,"no grounded population"
"MB-UNP-pine-ridge","Pine Ridge",COMMUNITY,"Unincorporated Community",12,Eastman,pine-ridge,50.00444,-96.84083,CGN,,"",36.3,"no grounded population"
"MB-UNP-rossdale","Rossdale",COMMUNITY,"Unincorporated Community",13,Interlake,rossdale,50.09139,-97.00333,CGN,,"",36.3,"no grounded population"
"MB-UNP-rounthwaite","Rounthwaite",COMMUNITY,"Community",07,Westman,rounthwaite,49.67000,-99.79611,CGN,,"",36.3,"no grounded population"
"MB-UNP-wabowden","Wabowden",COMMUNITY,"Northern Community",22,Northern Manitoba,wabowden,54.90889,-98.62972,CGN,442,"GeoNames (census-derived)",36.3,"score < 50"
"MB-UNP-beaudry","Beaudry",COMMUNITY,"Unincorporated Community",14,Interlake,beaudry,49.85861,-97.49694,CGN,,"",36.2,"no grounded population"
"MB-UNP-carroll","Carroll",COMMUNITY,"Community",07,Westman,carroll,49.60750,-100.03194,CGN,,"",36.2,"no grounded population"
"MB-UNP-chimo-resort","Chimo Resort",COMMUNITY,"Community",07,Westman,chimo-resort,50.02667,-100.18444,CGN,,"",36.2,"no grounded population"
"MB-UNP-lido-plage","Lido Plage",COMMUNITY,"Unincorporated Community",14,Interlake,lido-plage,49.87639,-97.51500,CGN,,"",36.2,"no grounded population"
"MB-UNP-little-britain","Little Britain",COMMUNITY,"Community",13,Interlake,little-britain,50.10083,-96.94417,CGN,,"",36.2,"no grounded population"
"MB-UNP-lockport","Lockport",COMMUNITY,"Community",13,Interlake,lockport,50.08306,-96.94444,CGN,,"",36.2,"no grounded population"
"MB-UNP-meadowvale","Meadowvale",COMMUNITY,"Unincorporated Community",12,Eastman,meadowvale,49.82750,-96.77778,CGN,,"",36.2,"no grounded population"
"MB-UNP-moore-park","Moore Park",COMMUNITY,"Community",07,Westman,moore-park,50.06639,-99.77944,CGN,,"",36.2,"no grounded population"
"MB-UNP-nesbitt","Nesbitt",COMMUNITY,"Community",07,Westman,nesbitt,49.60139,-99.86278,CGN,,"",36.2,"no grounded population"
"MB-UNP-springstein","Springstein",COMMUNITY,"Community",11,Winnipeg Metro,springstein,49.80500,-97.49944,CGN,,"",36.2,"no grounded population"
"MB-UNP-aweme","Aweme",COMMUNITY,"Unincorporated Community",07,Westman,aweme,49.70861,-99.60278,CGN,,"",36.1,"no grounded population"
"MB-UNP-cooks-creek","Cooks Creek",COMMUNITY,"Unincorporated Community",12,Eastman,cooks-creek,50.01694,-96.77361,CGN,,"",36.1,"no grounded population"
"MB-UNP-glass","Glass",COMMUNITY,"Community",12,Eastman,glass,49.88528,-96.72694,CGN,,"",36.1,"no grounded population"
"MB-UNP-glenlea","Glenlea",COMMUNITY,"Community",02,Eastman,glenlea,49.63556,-97.13500,CGN,,"",36.1,"no grounded population"
"MB-UNP-grosse-isle","Grosse Isle",COMMUNITY,"Community",14,Interlake,grosse-isle,50.06361,-97.44167,CGN,,"",36.1,"no grounded population"
"MB-UNP-hazelridge","Hazelridge",COMMUNITY,"Community",12,Eastman,hazelridge,49.96583,-96.71528,CGN,,"",36.1,"no grounded population"
"MB-UNP-hughes","Hughes",COMMUNITY,"Unincorporated Community",07,Westman,hughes,49.88500,-99.54583,CGN,,"",36.1,"no grounded population"
"MB-UNP-ingelow","Ingelow",COMMUNITY,"Community",07,Westman,ingelow,49.99028,-99.60833,CGN,,"",36.1,"no grounded population"
"MB-UNP-kirkness","Kirkness",COMMUNITY,"Community",13,Interlake,kirkness,50.07833,-96.86194,CGN,,"",36.1,"no grounded population"
"MB-UNP-melrose","Melrose",COMMUNITY,"Unincorporated Community",13,Interlake,melrose,50.04778,-96.78222,CGN,,"",36.1,"no grounded population"
"MB-UNP-methven","Methven",COMMUNITY,"Unincorporated Community",07,Westman,methven,49.61917,-99.73444,CGN,,"",36.1,"no grounded population"
"MB-UNP-millbrook","Millbrook",COMMUNITY,"Unincorporated Community",12,Eastman,millbrook,49.84667,-96.73306,CGN,,"",36.1,"no grounded population"
"MB-UNP-newstead","Newstead",COMMUNITY,"Unincorporated Community",07,Westman,newstead,49.62111,-100.14611,CGN,,"",36.1,"no grounded population"
"MB-UNP-old-england","Old England",COMMUNITY,"Unincorporated Community",13,Interlake,old-england,50.12222,-96.90972,CGN,,"",36.1,"no grounded population"
"MB-UNP-onah","Onah",COMMUNITY,"Unincorporated Community",07,Westman,onah,49.80694,-99.51806,CGN,,"",36.1,"no grounded population"
"MB-UNP-tremaine","Tremaine",COMMUNITY,"Unincorporated Community",07,Westman,tremaine,50.12361,-99.93417,CGN,,"",36.1,"no grounded population"
"MB-UNP-wheatland","Wheatland",COMMUNITY,"Community",06,Westman,wheatland,50.01667,-100.29556,CGN,,"",36.1,"no grounded population"
"MB-UNP-white-plains","White Plains",COMMUNITY,"Unincorporated Community",14,Interlake,white-plains,49.85333,-97.54056,CGN,,"",36.1,"no grounded population"
