Location_ID,Location_Name,Type,Region,Pop_2021,Unified_Score,Tier,Bucket,Reason,Fix_Note
ON-0076,Arnprior,Town,Ottawa-Eastern,9629,63,C,BUILT_VERIFIED,,
ON-0077,Centre Wellington,Township,Kitchener-Waterloo,31093,65.5,B,BUILT_VERIFIED,,
ON-0078,Elliot Lake,City,Northern Ontario,11372,55.9,C,BUILT_VERIFIED,,
ON-0079,Essa,Township,Grey-Bruce-Simcoe,22970,65,B,BUILT_VERIFIED,,
ON-0080,Hawkesbury,Town,Ottawa-Eastern,10194,62,C,BUILT_VERIFIED,,
ON-0081,Midland,Town,Grey-Bruce-Simcoe,17817,61.9,C,BUILT_VERIFIED,,
ON-0082,Niagara-on-the-Lake,Town,Hamilton-Niagara,19088,62.3,C,BUILT_NEEDS_REVIEW,,
ON-0083,Scugog,Township,Greater Toronto Area,21581,65.3,B,BUILT_VERIFIED,,
ON-0084,Selwyn,Township,Central Ontario,18653,63.7,C,BUILT_VERIFIED,,
ON-0085,Uxbridge,Township,Greater Toronto Area,21556,65.5,B,BUILT_VERIFIED,,
ON-0086,Woolwich,Township,Kitchener-Waterloo,26999,64.9,B,BUILT_VERIFIED,,
ON-0087,Bracebridge,Town,Central Ontario,17305,61.1,C,BUILT_VERIFIED,,
ON-0088,Brock,Township,Greater Toronto Area,12567,62.8,C,BUILT_VERIFIED,,
ON-0089,Gravenhurst,Town,Central Ontario,13157,60.9,C,BUILT_VERIFIED,,
ON-0090,Hamilton,City,Hamilton-Niagara,569353,76,A,BUILT_VERIFIED,,"re-identified as City of Hamilton (was mislabeled Township/Northumberland); pop corrected 11,059→569,353 (StatCan 2021 CSD); township split to ON-2515"
ON-0091,Ingersoll,Town,Southwestern Ontario,13693,61.1,C,BUILT_VERIFIED,,
ON-0092,Mono,Town,Grey-Bruce-Simcoe,9421,62.4,C,BUILT_VERIFIED,,
ON-0093,North Dundas,Township,Ottawa-Eastern,11304,63.5,C,BUILT_VERIFIED,,
ON-0094,Oro-Medonte,Township,Grey-Bruce-Simcoe,23017,64.4,B,BUILT_VERIFIED,,
ON-0095,Petawawa,Town,Ottawa-Eastern,18160,61.8,C,BUILT_VERIFIED,,
ON-0096,Renfrew,Town,Ottawa-Eastern,8190,61.9,C,BUILT_VERIFIED,,
ON-0097,Shelburne,Town,Grey-Bruce-Simcoe,8994,62,C,BUILT_VERIFIED,,
ON-0098,Smiths Falls,Town,Eastern Ontario,9254,62.6,C,BUILT_VERIFIED,,
ON-0099,South Stormont,Township,Ottawa-Eastern,13570,63.2,C,BUILT_VERIFIED,,
ON-0100,Springwater,Township,Grey-Bruce-Simcoe,21701,64.4,B,BUILT_VERIFIED,,
ON-0101,Temiskaming Shores,City,Northern Ontario,9634,56,C,BUILT_VERIFIED,,
ON-0102,Tillsonburg,Town,Southwestern Ontario,18615,61.7,C,BUILT_VERIFIED,,
ON-0103,Timmins,City,Northern Ontario,41145,56.5,B,BUILT_VERIFIED,,
ON-0104,Wilmot,Township,Kitchener-Waterloo,21429,64,B,BUILT_VERIFIED,,
ON-0105,Alfred and Plantagenet,Township,Ottawa-Eastern,9949,63.3,C,BUILT_VERIFIED,,
ON-0106,Alnwick/Haldimand,Township,Central Ontario,7473,62.8,C,BUILT_VERIFIED,,
ON-0107,Beckwith,Township,Eastern Ontario,9021,63,C,BUILT_NEEDS_REVIEW,,
ON-0108,Champlain,Township,Ottawa-Eastern,8665,62.7,C,BUILT_VERIFIED,,
ON-0109,Clearview,Township,Grey-Bruce-Simcoe,14814,62.5,C,BUILT_VERIFIED,,
ON-0110,Guelph/Eramosa,Township,Kitchener-Waterloo,13904,63.4,C,BUILT_VERIFIED,,"coords corrected (original 42.775,-79.558 fell in Lake Erie); centred near Rockwood — verify vs CGN"
ON-0111,Huntsville,Town,Central Ontario,21147,61.5,B,BUILT_VERIFIED,,
ON-0112,Mapleton,Township,Kitchener-Waterloo,10839,61.6,C,BUILT_VERIFIED,,
ON-0113,North Dumfries,Township,Kitchener-Waterloo,10619,62.1,C,BUILT_VERIFIED,,
ON-0114,North Glengarry,Township,Ottawa-Eastern,10144,62.4,C,BUILT_VERIFIED,,
ON-0115,Penetanguishene,Town,Grey-Bruce-Simcoe,10077,60.7,C,BUILT_VERIFIED,,
ON-0116,Perth,Town,Eastern Ontario,6469,61.6,C,BUILT_VERIFIED,,
ON-0117,Saugeen Shores,Town,Grey-Bruce-Simcoe,15908,60.1,C,BUILT_VERIFIED,,
ON-0118,Severn,Township,Grey-Bruce-Simcoe,14576,61.7,C,BUILT_VERIFIED,,
ON-0119,South Frontenac,Township,Eastern Ontario,20188,63.4,B,BUILT_VERIFIED,,
ON-0120,South Glengarry,Township,Ottawa-Eastern,13330,62.5,C,BUILT_VERIFIED,,
ON-0121,St. Clair,Township,Southwestern Ontario,14659,61.7,C,BUILT_VERIFIED,,
ON-0122,Wainfleet,Township,Hamilton-Niagara,6887,63.2,C,BUILT_NEEDS_REVIEW,,
ON-0123,Wellington North,Township,Kitchener-Waterloo,12431,62.1,C,BUILT_VERIFIED,,
ON-0124,West Lincoln,Township,Hamilton-Niagara,15454,62.4,C,BUILT_NEEDS_REVIEW,,
ON-0125,Asphodel–Norwood,Township,Central Ontario,4658,59,C,BUILT_VERIFIED,,
ON-0126,Cavan Monaghan,Township,Central Ontario,10016,61.2,C,BUILT_VERIFIED,,
ON-0127,Chatham-Kent,Municipality,Windsor-Essex,103988,63.3,B,BUILT_VERIFIED,,
ON-0128,Georgian Bay,Township,Central Ontario,3441,58.7,,DEFERRED_THIN,"boilerplate-only grounding, pop 3441 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0129,Grand Valley,Town,Grey-Bruce-Simcoe,3851,57.3,,DEFERRED_THIN,"boilerplate-only grounding, pop 3851 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0130,Horton,Township,Ottawa-Eastern,3182,58.7,,DEFERRED_THIN,"boilerplate-only grounding, pop 3182 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0131,Kenora,City,Northern Ontario,14967,53.4,C,BUILT_VERIFIED,,
ON-0132,Loyalist,Township,Eastern Ontario,17943,61.2,C,BUILT_VERIFIED,,
ON-0133,McNab/Braeside,Township,Ottawa-Eastern,7591,62.6,C,BUILT_VERIFIED,,
ON-0134,Minto,Town,Kitchener-Waterloo,9094,60.7,C,BUILT_VERIFIED,,
ON-0135,NationThe Nation,Municipality,Ottawa-Eastern,13350,63,C,BUILT_VERIFIED,,
ON-0136,North Stormont,Township,Ottawa-Eastern,7400,62,C,BUILT_NEEDS_REVIEW,,
ON-0137,Otonabee–South Monaghan,Township,Central Ontario,7087,62.4,C,BUILT_VERIFIED,,
ON-0138,Perth East,Township,Southwestern Ontario,12595,61.5,C,BUILT_VERIFIED,,
ON-0139,Petrolia,Town,Southwestern Ontario,6013,60.8,C,BUILT_VERIFIED,,
ON-0140,Port Hope,Municipality,Central Ontario,17294,62.9,C,BUILT_VERIFIED,,
ON-0141,Prescott,Town,Eastern Ontario,4078,57.4,C,BUILT_VERIFIED,,
ON-0142,Puslinch,Township,Kitchener-Waterloo,7944,62.1,C,BUILT_VERIFIED,,
ON-0143,Ramara,Township,Grey-Bruce-Simcoe,10377,61.4,C,BUILT_VERIFIED,,
ON-0144,Rideau Lakes,Township,Eastern Ontario,10883,60.7,C,BUILT_VERIFIED,,
ON-0145,South Dundas,Municipality,Ottawa-Eastern,11044,63,C,BUILT_VERIFIED,,
ON-0146,Tay,Township,Grey-Bruce-Simcoe,11091,61.2,C,BUILT_VERIFIED,,
ON-0147,Tiny,Township,Grey-Bruce-Simcoe,12966,61.1,C,BUILT_VERIFIED,,
ON-0148,Wellesley,Township,Kitchener-Waterloo,11318,61.6,C,BUILT_VERIFIED,,
ON-0149,Six Nations of the Grand River,First Nations Reserve,Southwestern Ontario,12783,58.5,C,BUILT_VERIFIED,,
ON-0150,Akwesasne,First Nations Reserve,Ottawa-Eastern,11500,58.2,C,BUILT_NEEDS_REVIEW,,
ON-0151,Kilbride,Hamlet,Greater Toronto Area,1756,53.2,,DEFERRED_THIN,"boilerplate-only grounding, pop 1756 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0152,Ospringe,Hamlet,Greater Toronto Area,1758,53.1,,DEFERRED_THIN,"boilerplate-only grounding, pop 1758 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0153,Perkinsfield,Hamlet,Greater Toronto Area,1733,53.2,,DEFERRED_THIN,"boilerplate-only grounding, pop 1733 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0154,Port Severn,Hamlet,Greater Toronto Area,1685,53.4,,DEFERRED_THIN,"boilerplate-only grounding, pop 1685 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0155,Havelock,Hamlet,Greater Toronto Area,1687,53.4,,DEFERRED_THIN,"boilerplate-only grounding, pop 1687 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0156,Minden,Hamlet,Greater Toronto Area,1668,53.4,,DEFERRED_THIN,"boilerplate-only grounding, pop 1668 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0157,Levack,Hamlet,Greater Toronto Area,1678,53.4,,DEFERRED_THIN,"boilerplate-only grounding, pop 1678 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0158,Wheatley,Hamlet,Greater Toronto Area,1695,53.4,,DEFERRED_THIN,"boilerplate-only grounding, pop 1695 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0159,Lanark,Hamlet,Greater Toronto Area,1542,53.6,,DEFERRED_THIN,"boilerplate-only grounding, pop 1542 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0160,Calabogie,Hamlet,Greater Toronto Area,1664,53.3,,DEFERRED_THIN,"boilerplate-only grounding, pop 1664 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0161,Sharbot Lake,Hamlet,Greater Toronto Area,1505,53.2,,DEFERRED_THIN,"boilerplate-only grounding, pop 1505 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0162,Wilberforce,Hamlet,Greater Toronto Area,1661,53.2,,DEFERRED_THIN,"boilerplate-only grounding, pop 1661 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0163,Foxboro,Hamlet,Greater Toronto Area,1631,53.6,,DEFERRED_THIN,"boilerplate-only grounding, pop 1631 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0164,Commanda,Locality,Greater Toronto Area,1544,53.4,,DEFERRED_THIN,"boilerplate-only grounding, pop 1544 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0165,Aylmer,Town,Southwestern Ontario,7699,58.9,C,BUILT_VERIFIED,,
ON-0166,Bonnechere Valley,Township,Ottawa-Eastern,3898,57.7,,DEFERRED_THIN,"boilerplate-only grounding, pop 3898 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0167,Cramahe,Township,Central Ontario,6509,60.8,C,BUILT_VERIFIED,,
ON-0168,Gananoque,Town,Eastern Ontario,5383,59.6,C,BUILT_VERIFIED,,
ON-0169,Georgian Bluffs,Township,Grey-Bruce-Simcoe,11100,60,C,BUILT_VERIFIED,,
ON-0170,Greater Madawaska,Township,Ottawa-Eastern,2864,57.9,,DEFERRED_THIN,"boilerplate-only grounding, pop 2864 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0171,Hanover,Town,Grey-Bruce-Simcoe,7967,59.9,C,BUILT_VERIFIED,,
ON-0172,Lakeshore,Town,Windsor-Essex,40410,59.2,B,BUILT_VERIFIED,,
ON-0173,Lanark Highlands,Township,Eastern Ontario,5737,61.1,C,BUILT_VERIFIED,,
ON-0174,Laurentian Hills,Town,Ottawa-Eastern,2885,56.8,,DEFERRED_THIN,"boilerplate-only grounding, pop 2885 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0175,Laurentian Valley,Township,Ottawa-Eastern,9450,60.8,C,BUILT_VERIFIED,,
ON-0176,North Grenville,Municipality,Eastern Ontario,17964,61.9,C,BUILT_VERIFIED,,
ON-0177,North Perth,Municipality,Southwestern Ontario,15538,61.8,C,BUILT_VERIFIED,,
ON-0178,Southgate,Township,Grey-Bruce-Simcoe,8716,61,C,BUILT_VERIFIED,,
ON-0179,Southwold,Township,Southwestern Ontario,4851,58.3,C,BUILT_VERIFIED,,
ON-0180,West Grey,Municipality,Grey-Bruce-Simcoe,13131,61.3,C,BUILT_VERIFIED,,
ON-0181,Whitewater,Township,Ottawa-Eastern,7225,60.9,C,BUILT_NEEDS_REVIEW,,
ON-0182,Zorra,Township,Southwestern Ontario,8628,61.2,C,BUILT_VERIFIED,,
ON-0183,Acton,Hamlet,Greater Toronto Area,1595,52.4,,DEFERRED_THIN,"boilerplate-only grounding, pop 1595 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0184,Norval,Hamlet,Greater Toronto Area,1855,52.8,,DEFERRED_THIN,"boilerplate-only grounding, pop 1855 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0185,Belfountain,Hamlet,Greater Toronto Area,1885,52.5,,DEFERRED_THIN,"boilerplate-only grounding, pop 1885 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0186,Angus,Hamlet,Greater Toronto Area,1825,52.2,,DEFERRED_THIN,"boilerplate-only grounding, pop 1825 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0187,Gilford,Hamlet,Greater Toronto Area,1983,52.2,,DEFERRED_THIN,"boilerplate-only grounding, pop 1983 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0188,Shanty Bay,Hamlet,Greater Toronto Area,1617,52.2,,DEFERRED_THIN,"boilerplate-only grounding, pop 1617 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0189,Big Bay Point,Hamlet,Greater Toronto Area,1849,52.2,,DEFERRED_THIN,"boilerplate-only grounding, pop 1849 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0190,Phelpston,Hamlet,Greater Toronto Area,1670,52.5,,DEFERRED_THIN,"boilerplate-only grounding, pop 1670 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0191,Port Carling,Hamlet,Greater Toronto Area,1943,52.4,,DEFERRED_THIN,"boilerplate-only grounding, pop 1943 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0192,Minett,Hamlet,Greater Toronto Area,1517,52.3,,DEFERRED_THIN,"boilerplate-only grounding, pop 1517 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0193,Fenwick,Hamlet,Greater Toronto Area,1385,52.6,,DEFERRED_THIN,"boilerplate-only grounding, pop 1385 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0194,Winchester,Hamlet,Greater Toronto Area,1419,52.8,,DEFERRED_THIN,"boilerplate-only grounding, pop 1419 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0195,Morrisburg,Hamlet,Greater Toronto Area,1343,52.1,,DEFERRED_THIN,"boilerplate-only grounding, pop 1343 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0196,L'Orignal,Hamlet,Greater Toronto Area,1551,52.9,,DEFERRED_THIN,"boilerplate-only grounding, pop 1551 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0197,Hastings,Hamlet,Greater Toronto Area,1468,52.9,,DEFERRED_THIN,"boilerplate-only grounding, pop 1468 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0198,Colborne,Hamlet,Greater Toronto Area,1681,52.9,,DEFERRED_THIN,"boilerplate-only grounding, pop 1681 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0199,Grafton,Hamlet,Greater Toronto Area,1440,52.2,,DEFERRED_THIN,"boilerplate-only grounding, pop 1440 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0200,Baltimore,Hamlet,Greater Toronto Area,1562,52.8,,DEFERRED_THIN,"boilerplate-only grounding, pop 1562 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0201,Millbrook,Hamlet,Greater Toronto Area,1478,53.1,,DEFERRED_THIN,"boilerplate-only grounding, pop 1478 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0202,Bobcaygeon,Hamlet,Greater Toronto Area,1399,52.4,,DEFERRED_THIN,"boilerplate-only grounding, pop 1399 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0203,Fenelon Falls,Hamlet,Greater Toronto Area,1589,52.8,,DEFERRED_THIN,"boilerplate-only grounding, pop 1589 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0204,Coboconk,Hamlet,Greater Toronto Area,1896,52.3,,DEFERRED_THIN,"boilerplate-only grounding, pop 1896 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0205,Haliburton,Hamlet,Greater Toronto Area,1837,52.3,,DEFERRED_THIN,"boilerplate-only grounding, pop 1837 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0206,Ripley,Hamlet,Greater Toronto Area,1637,52.2,,DEFERRED_THIN,"boilerplate-only grounding, pop 1637 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0207,Delaware,Hamlet,Greater Toronto Area,1904,52.4,,DEFERRED_THIN,"boilerplate-only grounding, pop 1904 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0208,Melbourne,Hamlet,Greater Toronto Area,1465,52.8,,DEFERRED_THIN,"boilerplate-only grounding, pop 1465 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0209,Thamesford,Hamlet,Greater Toronto Area,1853,52.8,,DEFERRED_THIN,"boilerplate-only grounding, pop 1853 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0210,Arthur,Hamlet,Greater Toronto Area,1543,52.5,,DEFERRED_THIN,"boilerplate-only grounding, pop 1543 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0211,Lion's Head,Hamlet,Greater Toronto Area,1864,52.3,,DEFERRED_THIN,"boilerplate-only grounding, pop 1864 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0212,Dowling,Hamlet,Greater Toronto Area,1821,52.6,,DEFERRED_THIN,"boilerplate-only grounding, pop 1821 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0213,Geraldton,Hamlet,Greater Toronto Area,1435,52.1,,DEFERRED_THIN,"boilerplate-only grounding, pop 1435 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0214,Beardmore,Hamlet,Greater Toronto Area,1356,52.3,,DEFERRED_THIN,"boilerplate-only grounding, pop 1356 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0215,Mattice,Hamlet,Greater Toronto Area,1730,52.7,,DEFERRED_THIN,"boilerplate-only grounding, pop 1730 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0216,Matheson,Hamlet,Greater Toronto Area,1406,52.4,,DEFERRED_THIN,"boilerplate-only grounding, pop 1406 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0217,Harrow,Hamlet,Greater Toronto Area,1824,52.2,,DEFERRED_THIN,"boilerplate-only grounding, pop 1824 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0218,Tilbury,Hamlet,Greater Toronto Area,1820,52.3,,DEFERRED_THIN,"boilerplate-only grounding, pop 1820 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0219,Wilno,Hamlet,Greater Toronto Area,1898,52.3,,DEFERRED_THIN,"boilerplate-only grounding, pop 1898 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0220,Combermere,Hamlet,Greater Toronto Area,1956,52.4,,DEFERRED_THIN,"boilerplate-only grounding, pop 1956 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0221,Marmora,Hamlet,Greater Toronto Area,1941,52.4,,DEFERRED_THIN,"boilerplate-only grounding, pop 1941 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0222,Frankford,Hamlet,Greater Toronto Area,1958,52.4,,DEFERRED_THIN,"boilerplate-only grounding, pop 1958 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
ON-0223,Bridgenorth,Hamlet,Greater Toronto Area,1400,52.8,,DEFERRED_THIN,"boilerplate-only grounding, pop 1400 < 4000 — cannot clear 4-of-8 signal gate without invention; noindex",
