Community_ID,Name,CGN_Generic,County,Region,Latitude,Longitude,Status,Defer_Reason,Data_Sources
NB-C-0001,Aboushagan Road,Locality,Westmorland,Greater Moncton & Southeast,45.98466,-64.352993,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0021,Anderson Settlement,Dispersed Rural Community,Westmorland,Greater Moncton & Southeast,46.114805,-64.246121,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0022,Andersonville,Dispersed Rural Community,Charlotte,Fundy & Greater Saint John,45.423628,-67.251986,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0023,Anfield,Dispersed Rural Community,Victoria,Northwest & Madawaska,46.926426,-67.511887,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0024,Annidale,Dispersed Rural Community,Queens,Capital & River Valley,45.79162,-65.782853,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0025,Anse-Bleue,Dispersed Rural Community,Gloucester,Acadian Peninsula & Chaleur,47.828396,-65.081935,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0026,Anthonys Cove,Dispersed Rural Community,Saint John,Fundy & Greater Saint John,45.226938,-66.007833,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0027,Apohaqui,Rural Village,Kings,Fundy & Greater Saint John,45.698342,-65.598412,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0028,Arbeau Settlement,Dispersed Rural Community,Northumberland,Miramichi River Region,46.641599,-65.851,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0029,Arcadia,Village,Queens,Capital & River Valley,45.8276523,-65.9561792,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0030,Archibald Settlement,Urban Community,Restigouche,Restigouche & Chaleur Bay,47.876288,-66.062501,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0031,Argosy,Dispersed Rural Community,Victoria,Northwest & Madawaska,46.982933,-67.709259,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0032,Argyle,Dispersed Rural Community,Carleton,Capital & River Valley,46.512299,-67.34033,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0033,Armond,Dispersed Rural Community,Carleton,Capital & River Valley,46.412746,-67.382649,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0034,Armstrong Brook,Urban Community,Restigouche,Restigouche & Chaleur Bay,47.915271,-65.968204,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0035,Arthurette,Dispersed Rural Community,Victoria,Northwest & Madawaska,46.790854,-67.488572,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0036,Ashland,Dispersed Rural Community,Carleton,Capital & River Valley,46.314224,-67.460212,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0037,Astle,Dispersed Rural Community,York,Capital & River Valley,46.412194,-66.470493,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0038,Auburnville,Dispersed Rural Community,Northumberland,Miramichi River Region,47.008178,-65.127274,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0039,Aulac,Dispersed Rural Community,Westmorland,Greater Moncton & Southeast,45.870467,-64.281402,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0040,Avon,Dispersed Rural Community,Queens,Capital & River Valley,46.063215,-66.042248,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0041,Avondale,Dispersed Rural Community,Carleton,Capital & River Valley,46.31662,-67.645212,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0042,Back Bay,Dispersed Rural Community,Charlotte,Fundy & Greater Saint John,45.056142,-66.869588,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0043,Back Clarendon,Dispersed Rural Community,Charlotte,Fundy & Greater Saint John,45.43433,-66.567531,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0044,Back Lots,Urban Community,Northumberland,Miramichi River Region,47.047823,-65.505081,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0045,Bagdad,Dispersed Rural Community,Queens,Capital & River Valley,45.923303,-65.860073,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0046,Baie Verte,Dispersed Rural Community,Westmorland,Greater Moncton & Southeast,46.014832,-64.103183,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0047,Baie Verte Road,Dispersed Rural Community,Westmorland,Greater Moncton & Southeast,45.983333,-64.15,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0048,Baie-Sainte-Anne,Dispersed Rural Community,Northumberland,Miramichi River Region,47.050509,-64.957859,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0049,Baie-des-Hérons,Town,Restigouche,Restigouche & Chaleur Bay,48.0661909,-66.3755574,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0050,Baillie,Dispersed Rural Community,Charlotte,Fundy & Greater Saint John,45.387322,-67.262929,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0051,Bains Corner,Dispersed Rural Community,Saint John,Fundy & Greater Saint John,45.333284,-65.642797,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0052,Bairdsville,Dispersed Rural Community,Victoria,Northwest & Madawaska,46.630947,-67.714896,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0053,Baker-Brook,Urban Community,Madawaska,Northwest & Madawaska,47.308889,-68.515556,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0054,Balla Philip,Dispersed Rural Community,Kent,Greater Moncton & Southeast,46.488222,-64.912213,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0055,Baltimore,Dispersed Rural Community,Albert,Greater Moncton & Southeast,45.886639,-64.808702,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0056,Bannon,Dispersed Rural Community,Carleton,Capital & River Valley,46.370691,-67.46432,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0057,Bar Road,Dispersed Rural Community,Charlotte,Fundy & Greater Saint John,45.097542,-67.055755,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0058,Bar-de-Cocagne,Dispersed Rural Community,Kent,Greater Moncton & Southeast,46.419411,-64.62019,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0059,Barachois,Dispersed Rural Community,Westmorland,Greater Moncton & Southeast,46.228153,-64.447796,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0060,Barkers Point,Urban Community,York,Capital & River Valley,45.951651,-66.623389,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0061,Barnaby River,Dispersed Rural Community,Northumberland,Miramichi River Region,46.887445,-65.513261,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0062,Barnesville,Dispersed Rural Community,Kings,Fundy & Greater Saint John,45.442311,-65.731461,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0063,Barnettville,Dispersed Rural Community,Northumberland,Miramichi River Region,46.766667,-65.8,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0064,Barony,Dispersed Rural Community,York,Capital & River Valley,45.970407,-67.187308,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0065,Barrieau,Dispersed Rural Community,Kent,Greater Moncton & Southeast,46.771248,-65.273019,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0066,Barryville,Dispersed Rural Community,Northumberland,Miramichi River Region,47.155187,-65.24737,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0067,Barsa Subdivision,Urban Community,Kings,Fundy & Greater Saint John,45.368333,-65.965278,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0068,Barter Settlement,Dispersed Rural Community,Charlotte,Fundy & Greater Saint John,45.205999,-67.337538,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0069,Bartholomew,Dispersed Rural Community,Northumberland,Miramichi River Region,46.706286,-65.903389,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0070,Bartibog,Dispersed Rural Community,Northumberland,Miramichi River Region,47.187629,-65.405879,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0071,Bartibog Bridge,Dispersed Rural Community,Northumberland,Miramichi River Region,47.099146,-65.348,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0072,Bartletts Mills,Dispersed Rural Community,Charlotte,Fundy & Greater Saint John,45.205247,-67.126782,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0073,Barton,Dispersed Rural Community,York,Capital & River Valley,46.139704,-67.032721,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0074,Bas-Cap-Pelé,Dispersed Rural Community,Westmorland,Greater Moncton & Southeast,46.231324,-64.261452,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0075,Bass River,Dispersed Rural Community,Gloucester,Acadian Peninsula & Chaleur,47.649547,-65.573631,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0076,Bass River,Dispersed Rural Community,Kent,Greater Moncton & Southeast,46.544167,-65.113506,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0077,Bass River Point,Dispersed Rural Community,Kent,Greater Moncton & Southeast,46.559086,-65.04234,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0078,Basse-Aboujagane,Dispersed Rural Community,Westmorland,Greater Moncton & Southeast,46.138516,-64.415795,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0079,Basswood Ridge,Dispersed Rural Community,Charlotte,Fundy & Greater Saint John,45.317405,-67.357031,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0080,Bastarache,Dispersed Rural Community,Kent,Greater Moncton & Southeast,46.451244,-64.89149,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0081,Batemans Mills,Dispersed Rural Community,Westmorland,Greater Moncton & Southeast,46.231027,-64.620576,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0082,Bates Settlement,Dispersed Rural Community,York,Capital & River Valley,46.003338,-67.327011,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0083,Bathurst Mines,Dispersed Rural Community,Gloucester,Acadian Peninsula & Chaleur,47.406213,-65.793705,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0084,Baxters Corner,Locality,Saint John,Fundy & Greater Saint John,45.384765,-65.821003,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0085,Bay Road,Dispersed Rural Community,Charlotte,Fundy & Greater Saint John,45.214584,-67.229035,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0086,Bay Shore,Suburban Community,Saint John,Fundy & Greater Saint John,45.247962,-66.075389,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0087,Bay View,Dispersed Rural Community,Saint John,Fundy & Greater Saint John,45.374907,-65.49771,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0088,Bay du Vin,Dispersed Rural Community,Northumberland,Miramichi River Region,47.041324,-65.138267,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0089,Bay du Vin Beach,Dispersed Rural Community,Northumberland,Miramichi River Region,47.056118,-65.136318,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0090,Bayfield,Dispersed Rural Community,Westmorland,Greater Moncton & Southeast,46.136936,-63.817532,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0091,Bayshore,Dispersed Rural Community,Northumberland,Miramichi River Region,47.37694,-64.941009,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0092,Bayside,Dispersed Rural Community,Westmorland,Greater Moncton & Southeast,46.059039,-64.024192,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0093,Bayside,Dispersed Rural Community,Charlotte,Fundy & Greater Saint John,45.136493,-67.113723,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0094,Bayswater,Dispersed Rural Community,Kings,Fundy & Greater Saint John,45.354632,-66.132542,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0095,Beaconsfield,Dispersed Rural Community,Charlotte,Fundy & Greater Saint John,45.402152,-67.396806,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0096,Beaconsfield,Dispersed Rural Community,Victoria,Northwest & Madawaska,46.690102,-67.775759,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0097,Bear Island,Dispersed Rural Community,York,Capital & River Valley,45.921727,-67.026282,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0098,Beaufort,Dispersed Rural Community,Carleton,Capital & River Valley,46.582067,-67.289229,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0099,Beaumont,Urban Community,Westmorland,Greater Moncton & Southeast,45.88359,-64.57973,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0100,Beaurivage,Town,Kent,Greater Moncton & Southeast,46.6711768,-64.8677977,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0101,Beausoleil,Rural Community,,,46.3485285,-64.6213818,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0102,Beaver Brook,Dispersed Rural Community,Albert,Greater Moncton & Southeast,45.698848,-64.790882,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0103,Beaver Brook Station,Dispersed Rural Community,Northumberland,Miramichi River Region,47.128407,-65.608815,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0104,Beaver Dam,Dispersed Rural Community,York,Capital & River Valley,45.789146,-66.695167,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0105,Beaver Harbour,Dispersed Rural Community,Charlotte,Fundy & Greater Saint John,45.073183,-66.742676,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0106,Becketville,Urban Community,Restigouche,Restigouche & Chaleur Bay,47.89996,-65.998494,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0107,Beckim Settlement,Dispersed Rural Community,Carleton,Capital & River Valley,46.307822,-67.72622,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0108,Bedec,Dispersed Rural Community,Kent,Greater Moncton & Southeast,46.682138,-64.774878,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0109,Bedell Settlement,Dispersed Rural Community,Carleton,Capital & River Valley,46.130084,-67.654376,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0110,Bedford,Dispersed Rural Community,Kings,Fundy & Greater Saint John,45.426348,-66.144455,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0111,Bedford Road,Dispersed Rural Community,Victoria,Northwest & Madawaska,46.881459,-67.48049,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0112,Beech Glen,Dispersed Rural Community,Victoria,Northwest & Madawaska,46.696951,-67.683352,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0113,Beech Hill,Dispersed Rural Community,Albert,Greater Moncton & Southeast,45.908619,-64.764933,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0114,Beechwood,Dispersed Rural Community,Carleton,Capital & River Valley,46.543362,-67.659093,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0115,Beersville,Dispersed Rural Community,Kent,Greater Moncton & Southeast,46.447011,-65.075787,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0116,Belair,Urban Community,Westmorland,Greater Moncton & Southeast,46.066667,-64.833333,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0117,Bell Grove,Dispersed Rural Community,Victoria,Northwest & Madawaska,46.916692,-67.564953,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0118,Belle-Baie,Town,Gloucester,Acadian Peninsula & Chaleur,47.7009996,-65.7032478,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0119,Belledune River,Urban Community,Gloucester,Acadian Peninsula & Chaleur,47.910283,-65.880025,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0120,Bellefleur,Dispersed Rural Community,Madawaska,Northwest & Madawaska,47.113283,-67.875889,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0121,Bellefond,Dispersed Rural Community,Northumberland,Miramichi River Region,47.116021,-65.646572,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
