Community_ID,Name,GeoNames_Code,Latitude,Longitude,GeoNames_Pop_Est,Nearest_Built,Nearest_Built_Km,Status,Reason,Data_Source
NB-GC-0036,Upper Kingclear,PPL,45.88667,-66.91585,,hanwell,10,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0037,Boudreau-Ouest,PPL,46.22683,-64.48948,360,shediac,4,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0038,Upper Salmon Creek,PPL,46.205,-65.987,,chipman,9,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0039,Welch,PPL,46.61131,-67.23421,,florenceville-bristol,34,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0040,Lower Knoxford,PPL,46.46824,-67.72332,,florenceville-bristol,9,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0041,Avondale Road,PPL,46.30374,-67.66035,,hartland,12,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0042,Bristol Junction,PPL,46.449,-67.566,,florenceville-bristol,3,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0043,Lindsay,PPL,46.25007,-67.69758,,woodstock,13,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0044,Rockland,PPL,46.33631,-67.46981,,hartland,5,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0045,Bubartown,PPL,46.333,-67.482,,hartland,4,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0046,Elmwood Station,PPL,46.07918,-67.72455,,woodstock,13,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0047,Bedell,PPL,46.13338,-67.65019,,woodstock,5,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0048,Briggs Corner (Highway 550),PPL,46.23377,-67.68172,,woodstock,11,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0049,Debec Junction,PPL,46.07096,-67.68599,,woodstock,11,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0050,Dibblee,PPL,46.10099,-67.60692,,woodstock,6,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0051,Flemington,PPL,46.09,-67.56068,,woodstock,8,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0052,Hay Settlement,PPL,46.0389,-67.55445,,woodstock,13,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0053,McKenna,PPL,46.21,-67.51,,woodstock,9,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0054,Newburg Junction,PPL,46.19041,-67.53992,,woodstock,6,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0055,Richmond Settlement,PPL,46.14462,-67.73636,,woodstock,11,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0056,Briggs Corner (Highway 550),PPL,46.21823,-65.89924,,chipman,5,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0057,Bartibog Station,PPL,47.29158,-65.62448,,bathurst,37,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0058,Bear Landing,PPL,47.35219,-65.31111,,neguac,21,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0059,Kedgwick Ouest,PPL,47.64654,-67.37036,,kedgwick,2,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0060,Kedgwick Sud,PPL,47.62374,-67.34476,,kedgwick,2,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0061,Kouchibouguac National Park,PPLL,46.79933,-64.96474,,saint-louis-de-kent,7,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0062,Acadie Siding,PPLL,46.68277,-65.38678,,rogersville,6,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0063,Canisto,PPL,46.91826,-64.99837,,miramichi,19,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0064,Baie de Bouctouche,PPL,46.50212,-64.67816,,bouctouche,6,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0065,Bouctouche Sud,PPL,46.44443,-64.68434,,bouctouche,5,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0066,Couturier Siding,PPL,47.30351,-68.49458,,haut-madawaska,2,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0067,Madawaska Maliseet First Nation,PPL,47.36245,-68.31128,,edmundston,2,DEFERRED,First Nations community — excluded from third-party landing-page build by policy,GeoNames CC-BY
NB-GC-0068,Veneer,PPL,47.31156,-67.71263,,saint-andre,20,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0069,Bellefleur Station,PPL,47.10329,-67.86588,,saint-andre,10,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0070,St-André,PPL,47.10103,-67.7592,1794,saint-andre,4,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0071,Grand Falls Station,PPL,47.06348,-67.74497,,grand-falls,1,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0072,Saint-Andre-LeBlanc,PPL,46.18097,-64.28473,,cap-pele,4,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0073,Heath Steele,PPL,47.29292,-66.06779,,bathurst,50,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0074,Caissie Road,PPL,47.27643,-65.12862,,neguac,5,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0075,Christies Landing,PPL,47.3431,-65.20243,,neguac,14,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0076,Old Dans Landing,PPL,47.33696,-65.19262,,neguac,13,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0077,Gardiner Point,PPL,47.07083,-65.0998,,miramichi,7,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0078,McKendrick Lake,PPL,46.85315,-66.36221,,upper-miramichi,36,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0079,Parker Road,PPL,46.90884,-65.68806,,rogersville,28,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0080,Keenans,PPL,46.70146,-65.78204,,rogersville,27,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0081,Pondstream,PPL,45.99312,-66.05644,,minto,10,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0082,Upper Hampstead,PPL,45.731,-66.119,,gagetown,6,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0083,Craig Flats,PPL,46.75803,-67.63696,,grand-falls,34,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0084,Millerville,PPL,47.82236,-67.00942,,campbellton,31,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0085,St-Arthur,PPL,47.88919,-66.75822,,campbellton,13,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0086,Hazen,PPL,47.49266,-67.42894,,saint-quentin,4,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0087,Red Bridge,PPL,46.1942,-67.68005,,woodstock,8,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0088,Clover Valley,PPL,45.31085,-65.88069,,rothesay,10,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0089,Violette Brook,PPL,47.35175,-67.65889,,saint-andre,25,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0090,Sisson Lake Reservoir,PPL,47.28314,-67.26263,,saint-quentin,27,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0091,Morrell Siding,PPL,46.84994,-67.70012,,grand-falls,23,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0092,Aroostook Junction,PPL,46.788,-67.732,,grand-falls,29,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0093,Tilley,PPL,46.85415,-67.62949,,grand-falls,23,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0094,Tinker,PPL,46.80931,-67.76448,,grand-falls,27,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0095,Arbuckle,PPL,46.89774,-67.38866,,grand-falls,31,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0096,Beveridge,PPL,46.82794,-67.42459,,grand-falls,34,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0097,Longley,PPL,46.84174,-67.30472,,grand-falls,40,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0098,McLaughlin,PPL,46.90002,-67.48606,,grand-falls,25,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0099,Sisson,PPL,46.90374,-67.43515,,grand-falls,28,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0100,Saint Almo,PPL,46.85649,-67.42611,,grand-falls,32,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0101,Forest Glen,PPL,45.91862,-65.1018,,petitcodiac,5,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0102,Petitcodiac West,PPLS,45.915,-65.19,,petitcodiac,2,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0103,Deersdale,PPL,46.49619,-67.04277,,hartland,41,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0104,Half Moon Pit,PPL,46.48744,-67.0258,,hartland,42,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0105,Cross Creek Station,PPL,46.2649,-66.63825,,upper-miramichi,33,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0106,Maple Grove Station,PPL,46.39465,-66.76134,,upper-miramichi,28,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0107,Sutherland Siding,PPL,46.27568,-66.67654,,upper-miramichi,33,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0108,Bantalor,PPL,46.26071,-66.29181,,minto,26,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0109,North Cains,PPL,46.32563,-66.41497,,upper-miramichi,23,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0110,Caverhill,PPL,46.07197,-67.20563,,nackawic,9,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0111,County Line,PPL,46.16672,-67.33576,,hartland,19,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0112,Greenhill Lake,PPL,46.06146,-67.03689,,nackawic,16,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0113,Hayne,PPL,46.10847,-67.01955,,nackawic,20,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0114,Southampton Junction,PPL,46.11646,-67.17311,,nackawic,14,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0115,Woodman,PPL,46.148,-67.27369,,nackawic,18,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0116,Woodstock Road,PPL,46.13687,-67.24768,,nackawic,16,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0117,Estey's Bridge,PPL,46.035,-66.714,1908,fredericton,11,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0118,Stymiest,PPL,47.30215,-65.09434,,neguac,7,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0119,Darlings Island,PPL,45.50956,-65.87753,,hampton,3,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0120,South Nelson,PPLX,46.93555,-65.60155,,rogersville,26,DEFERRED,statistical section >20km from a built city — deferred,GeoNames CC-BY
NB-GC-0121,Elsipogtog First Nation,PPL,46.58544,-64.98583,2736,rexton,11,DEFERRED,First Nations community — excluded from third-party landing-page build by policy,GeoNames CC-BY
NB-GC-0122,Nepisiguit Falls,PPL,47.4196,-65.81358,,bathurst,27,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0123,Saint-Laurent Nord,PPLL,47.74116,-65.78283,,beresford,7,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0124,Pabineau Falls,PPLL,47.5066,-65.67923,,bathurst,14,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0125,Petite Passe,PPL,47.79383,-64.79273,,shippagan,8,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0126,Bois Hébert,PPL,47.56817,-64.98977,,tracadie,8,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0127,Tetagouche Falls,PPLL,47.61723,-65.82507,,beresford,14,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0128,Oak Point - Bartibog Bridge,PPL,47.11567,-65.29822,272,miramichi,13,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0129,Barryville-New Jersey,PPL,47.18286,-65.22422,214,neguac,13,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0130,Black River-Hardwicke,PPL,47.02116,-65.20756,1067,miramichi,3,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0131,Bonny River-Second Falls,PPL,45.21757,-66.85041,420,st-george,10,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0132,Cap-de-Richibucto,PPL,46.59458,-64.77935,1067,rexton,9,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0133,Chiasson-Savoy,PPL,47.74592,-64.65605,462,shippagan,5,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0134,Dennis-Weston,PPL,45.24165,-67.28451,970,st-stephen,7,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
